metric,cohort,model,value,unit,aggregation,missing_reason
01-word-error-rate,round3,NVIDIA Nemotron 0.6B Q8,5.331882480957563,%,pooled errors / reference words,
01-word-error-rate,round3,Moonshine Small,7.616974972796518,%,pooled errors / reference words,
01-word-error-rate,round3,Moonshine Medium,7.943416757344941,%,pooled errors / reference words,
01-word-error-rate,round3,Qwen3-ASR 0.6B,4.6789989118607185,%,pooled errors / reference words,
01-word-error-rate,round3,Qwen3-ASR 1.7B,6.420021762785637,%,pooled errors / reference words,
01-word-error-rate,round3,Parakeet TDT v3,7.181719260065289,%,pooled errors / reference words,
01-word-error-rate,round3,Whisper base.en,9.357997823721437,%,pooled errors / reference words,
02-normalized-word-error-rate,round3,NVIDIA Nemotron 0.6B Q8,4.6789989118607185,%,pooled errors / reference words,
02-normalized-word-error-rate,round3,Moonshine Small,6.9640914036996735,%,pooled errors / reference words,
02-normalized-word-error-rate,round3,Moonshine Medium,7.290533188248096,%,pooled errors / reference words,
02-normalized-word-error-rate,round3,Qwen3-ASR 0.6B,4.461371055495103,%,pooled errors / reference words,
02-normalized-word-error-rate,round3,Qwen3-ASR 1.7B,5.984766050054407,%,pooled errors / reference words,
02-normalized-word-error-rate,round3,Parakeet TDT v3,6.528835690968444,%,pooled errors / reference words,
02-normalized-word-error-rate,round3,Whisper base.en,8.705114254624592,%,pooled errors / reference words,
03-first-output,round3,NVIDIA Nemotron 0.6B Q8,1.4971213019998686,s,median,
03-first-output,round3,Moonshine Small,1.9650572870014003,s,median,
03-first-output,round3,Moonshine Medium,1.9678054780015373,s,median,
03-first-output,round3,Qwen3-ASR 0.6B,2.7275565979980456,s,median,
03-first-output,round3,Qwen3-ASR 1.7B,3.709768532000453,s,median,
03-first-output,round3,Parakeet TDT v3,,s,median,Not measured · offline adapter
03-first-output,round3,Whisper base.en,,s,median,Not measured · offline adapter
04-cpu-work,round3,NVIDIA Nemotron 0.6B Q8,0.9385991133321645,CPU s / audio s,median,
04-cpu-work,round3,Moonshine Small,3.165243296356417,CPU s / audio s,median,
04-cpu-work,round3,Moonshine Medium,3.7528103902181775,CPU s / audio s,median,
04-cpu-work,round3,Qwen3-ASR 0.6B,2.974835646597408,CPU s / audio s,median,
04-cpu-work,round3,Qwen3-ASR 1.7B,6.6789786543127985,CPU s / audio s,median,
04-cpu-work,round3,Parakeet TDT v3,0.4337395842662846,CPU s / audio s,median,
04-cpu-work,round3,Whisper base.en,0.8030689663391997,CPU s / audio s,median,
05-memory,round3,NVIDIA Nemotron 0.6B Q8,0.97833251953125,GiB,max,
05-memory,round3,Moonshine Small,0.5209236145019531,GiB,max,
05-memory,round3,Moonshine Medium,0.8400917053222656,GiB,max,
05-memory,round3,Qwen3-ASR 0.6B,2.864166259765625,GiB,max,
05-memory,round3,Qwen3-ASR 1.7B,6.799278259277344,GiB,max,
05-memory,round3,Parakeet TDT v3,3.1175765991210938,GiB,max,
05-memory,round3,Whisper base.en,0.4025840759277344,GiB,max,
06-completion-tail,round3,NVIDIA Nemotron 0.6B Q8,0.08959022400085814,s,median,
06-completion-tail,round3,Moonshine Small,0.0014576419998775236,s,median,
06-completion-tail,round3,Moonshine Medium,0.03079779099789448,s,median,
06-completion-tail,round3,Qwen3-ASR 0.6B,1.996661283999856,s,median,
06-completion-tail,round3,Qwen3-ASR 1.7B,236.64319409400196,s,median,
06-completion-tail,round3,Parakeet TDT v3,,s,median,Not measured · offline adapter
